Environment,Model,Run,Backend,PP,Buffer.Size,N,Mean,SD,CV,P99,Max,Miss,N_Steady,Mean_Steady,SD_Steady,CV_Steady,P99_Steady,Max_Steady,Miss_Steady
Chrome,steerable-nafx,onnxrt-web-jspp,js-onnx,js,1024,500,0.037412822265625006,0.0015187601523516702,0.0405946427021388,0.038669628906249996,0.0691845703125,1.0,490,0.03732654057716837,0.0005031829017135513,0.01348056621194986,0.038386328125,0.0447412109375,1.0
Chrome,steerable-nafx,onnxrt-web-jspp,js-onnx,js,8192,500,0.007238653564453125,0.0002246520830350301,0.031035064882539713,0.00750867919921875,0.011651611328125,0.0,490,0.007227321079799107,0.00010603342010296479,0.014671192677371978,0.0074992431640625,0.0087860107421875,0.0
Firefox,guitar-lstm,bypass,wasm-bypass,wasm,128,500,0.0010315625,0.0001594729599922425,0.15459359950777826,0.0017203124999999985,0.0025,0.0,490,0.0010146683673469387,9.062005064060657e-05,0.08931001848175431,0.00125,0.001875,0.0
Firefox,guitar-lstm,bypass,wasm-bypass,wasm,1024,500,0.000659296875,4.60854699859079e-05,0.069900938004458,0.0008009765624999998,0.00099609375,0.0,490,0.000655811543367347,3.8209968680562426e-05,0.05826364154002006,0.000703125,0.00072265625,0.0
Firefox,guitar-lstm,bypass,wasm-bypass,wasm,8192,500,0.0006148095703124999,1.0627725825569161e-05,0.017286207532792995,0.0006421142578124999,0.00066650390625,0.0,490,0.0006144770408163265,1.0340843109538885e-05,0.01682868914972182,0.00064208984375,0.00066650390625,0.0
Firefox,guitar-lstm,bypass-jspp,wasm-bypass,js,128,500,0.0010834375,0.0001822416788986691,0.16820691447237993,0.0018765624999999985,0.0025,0.0,490,0.0010676020408163266,0.00013596567647710078,0.12735614140746357,0.00125,0.00203125,0.0
Firefox,guitar-lstm,bypass-jspp,wasm-bypass,js,1024,500,0.000681171875,3.113815075653896e-05,0.04571261953018679,0.00080078125,0.0009375,0.0,490,0.0006783721301020408,2.2827404947593073e-05,0.03365026942389183,0.00076171875,0.00080078125,0.0
Firefox,guitar-lstm,bypass-jspp,wasm-bypass,js,8192,500,0.00065296875,1.034764398765426e-05,0.015847073826510474,0.00068115234375,0.00080078125,0.0,490,0.000652732382015306,1.0078146708253013e-05,0.015439936773378416,0.00068115234375,0.00080078125,0.0
Firefox,guitar-lstm,js-bypass,js-bypass,wasm,128,500,0.0010628125,0.00018124238763297015,0.1705309145620419,0.001875,0.003125,0.0,490,0.001043686224489796,0.00010158545889610144,0.09733333305779839,0.00125,0.00140625,0.0
Firefox,guitar-lstm,js-bypass,js-bypass,wasm,1024,500,0.0006515625,4.491753526894339e-05,0.0689381836261961,0.0007619140624999999,0.00083984375,0.0,490,0.0006489556760204082,4.108560602804813e-05,0.06331034236420806,0.000703125,0.00072265625,0.0
Firefox,guitar-lstm,js-bypass,js-bypass,wasm,8192,500,0.0006149072265624999,1.3566356462056855e-05,0.022062444342858856,0.00064208984375,0.00078369140625,0.0,490,0.0006146414620535714,1.3508215274728177e-05,0.02197739024893641,0.00064208984375,0.00078369140625,0.0
Firefox,guitar-lstm,js-bypass-jspp,js-bypass,js,128,500,0.0012009375,0.00014833108132864887,0.12351274011232798,0.0018765624999999985,0.00265625,0.0,490,0.0011846301020408162,8.456481606159551e-05,0.07138499681538722,0.00140625,0.00140625,0.0
Firefox,guitar-lstm,js-bypass-jspp,js-bypass,js,1024,500,0.000698984375,2.9900956290871233e-05,0.042777717729199936,0.00083984375,0.0009375,0.0,490,0.000696109693877551,2.110140536731813e-05,0.030313333592262782,0.0007421875,0.0008203125,0.0
Firefox,guitar-lstm,js-bypass-jspp,js-bypass,js,8192,500,0.0006576513671875,8.881012202641262e-06,0.013504134022592606,0.000683642578125,0.00069580078125,0.0,490,0.000657470703125,8.695268805896906e-06,0.013225332725196333,0.00068359375,0.00069580078125,0.0
Firefox,guitar-lstm,onnx,wasm-onnx,wasm,128,500,0.0075065625,0.001092253082078219,0.14550642615421094,0.009539062499999992,0.02921875,0.002,490,0.007447704081632653,0.0004684362342474196,0.06289673020208546,0.00921875,0.01171875,0.0
Firefox,guitar-lstm,onnx,wasm-onnx,wasm,1024,500,0.0061289453125,0.000261149945032001,0.04260927969113789,0.006661718749999999,0.011171875,0.0,490,0.006117466517857143,0.00013146985624619336,0.021490899192080137,0.006625390625000001,0.00734375,0.0
Firefox,guitar-lstm,onnx,wasm-onnx,wasm,8192,500,0.006074482421875,8.047080807102746e-05,0.013247352199298762,0.0062524658203125,0.0073974609375,0.0,490,0.006070890465561225,5.0406907067931696e-05,0.008303049997999233,0.0062280029296875004,0.006494140625,0.0
Firefox,guitar-lstm,onnx-jspp,wasm-onnx,js,128,500,0.007519375,0.00105683369874764,0.14054807729999366,0.009539062499999992,0.0284375,0.002,490,0.007460140306122448,0.0004659785274778853,0.062462434801053575,0.009079687500000001,0.01171875,0.0
Firefox,guitar-lstm,onnx-jspp,wasm-onnx,js,1024,500,0.0062079296875,0.00026453213710479095,0.04261197378530891,0.006934374999999999,0.01109375,0.0,490,0.006196229272959184,0.00014888479929402873,0.02402829087422141,0.006811914062500002,0.0076171875,0.0
Firefox,guitar-lstm,onnx-jspp,wasm-onnx,js,8192,500,0.0061189599609375,8.486773736616253e-05,0.01386963436726913,0.0063257568359375,0.00745361328125,0.0,490,0.006115473533163265,5.937046131387921e-05,0.00970823616387552,0.0063137451171875,0.0065283203125,0.0
Firefox,guitar-lstm,onnxrt-web,js-onnx,wasm,128,500,0.0066590625,0.0016923736437527287,0.25414593176633027,0.0184375,0.02265625,0.0,490,0.0065988520408163266,0.001530759501314608,0.23197360568873154,0.0182984375,0.02,0.0
Firefox,guitar-lstm,onnxrt-web,js-onnx,wasm,1024,500,0.0057134765625,0.0005369711546736669,0.09398326024439116,0.00634765625,0.01720703125,0.0,490,0.005686981823979592,0.00015092252369762097,0.026538246185568003,0.006208593750000002,0.0071875,0.0
Firefox,guitar-lstm,onnxrt-web,js-onnx,wasm,8192,500,0.0057069189453125,0.00012391350671837938,0.021712855554074127,0.0059375244140625,0.00819580078125,0.0,490,0.005701062260841837,5.365828600454993e-05,0.009411980355504236,0.005891870117187501,0.00628173828125,0.0
Firefox,guitar-lstm,onnxrt-web-jspp,js-onnx,js,128,500,0.00672375,0.001729625027780139,0.2572411270169383,0.01859375,0.0228125,0.002,490,0.006667410714285714,0.0015754210761865998,0.23628679013444817,0.018315625000000002,0.01984375,0.0
Firefox,guitar-lstm,onnxrt-web-jspp,js-onnx,js,1024,500,0.0057984765625,0.0005988717027044112,0.10328086976800835,0.006467968749999997,0.01853515625,0.0,490,0.0057701291454081635,0.00018139249969342176,0.031436471372182875,0.006273632812500003,0.00833984375,0.0
