"Backend","PP","Buffer.Size","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"js-onnx","wasm","128","Chrome","steerable-nafx",0.278119463827964,0.00275787342333283,1295.99999999986,0.27276136419816,0.28358281748349
"wasm-onnx","wasm","128","Chrome","steerable-nafx",0.276839912141015,0.00274518520100332,1295.99999999974,0.271506463664084,0.282278130398643
"wasm-bypass","js","128","Chrome","steerable-nafx",0.000871019879657702,8.63716096759358e-06,1295.999999999,0.000854239280304777,0.000888130115590373
"js-bypass","js","128","Chrome","steerable-nafx",0.000913121387045764,9.05464569415363e-06,1296.00000000011,0.000895529682752378,0.000931058661191168
"js-onnx","js","128","Chrome","steerable-nafx",0.278247794651935,0.00275914597061849,1296.00000000011,0.272887222669671,0.283713669226589
"wasm-onnx","js","128","Chrome","steerable-nafx",0.276818337393296,0.00274497126263822,1296.00000000011,0.271485304563823,0.282256131838526
"wasm-bypass","wasm","1024","Chrome","steerable-nafx",0.000112042173858656,1.11102664058198e-06,1295.99999999949,0.000109883629749546,0.000114243120213502
"js-bypass","wasm","1024","Chrome","steerable-nafx",0.000118595903593704,1.17601438653542e-06,1296.00000000011,0.00011631109886125,0.000120925590824188
"js-onnx","wasm","1024","Chrome","steerable-nafx",0.0372859563015146,0.000369733015202053,1296.00000000011,0.036567625171768,0.0380183982631661
"wasm-onnx","wasm","1024","Chrome","steerable-nafx",0.0371978357623851,0.00036885919900246,1296.00000000011,0.0364812023154313,0.0379285466921162
"wasm-bypass","js","1024","Chrome","steerable-nafx",0.000118869715224554,1.17872954285466e-06,1296.00000000011,0.000116579635384857,0.00012120478118601
"js-bypass","js","1024","Chrome","steerable-nafx",0.000123084489120642,1.22052385941704e-06,1295.99999999998,0.000120713209719643,0.000125502349720257
"js-onnx","js","1024","Chrome","steerable-nafx",0.0373918122745797,0.000370782698567608,1296.00000000011,0.036671441780733,0.0381263336614159
"wasm-onnx","js","1024","Chrome","steerable-nafx",0.0371801091347485,0.000368683419161053,1295.99999999998,0.0364638171994447,0.0379104718442056
