"PP","Backend","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"js","js-onnx","Safari","guitar-lstm",0.00682382293904466,8.55426912420807e-05,1295.99999999998,0.00665805236023533,0.00699372083366829
"wasm","wasm-onnx","Safari","guitar-lstm",0.00623571138698622,7.81701897333177e-05,1295.99999999998,0.00608422775454992,0.00639096662229833
"js","wasm-onnx","Safari","guitar-lstm",0.00639880601698837,8.02147260148334e-05,1295.99999999998,0.00624336033989504,0.00655812194298798
"wasm","wasm-bypass","Chrome","steerable-nafx",0.000170273433262919,2.13452896689284e-06,1296.00000000023,0.000166136994518833,0.000174512860059323
"js","wasm-bypass","Chrome","steerable-nafx",0.000171140448505133,2.14539777427978e-06,1295.99999999998,0.000166982947429884,0.000175401462037532
"wasm","js-bypass","Chrome","steerable-nafx",0.000177380901558133,2.22362740501493e-06,1295.99999999998,0.000173071801661539,0.000181797288382699
"js","js-bypass","Chrome","steerable-nafx",0.000178420967687727,2.23666555922698e-06,1295.99999999998,0.000174086601548758,0.000182863249827465
"wasm","js-onnx","Chrome","steerable-nafx",0.0428052673110485,0.000536602106741704,1295.99999999998,0.0417654024139628,0.0438710225130682
"js","js-onnx","Chrome","steerable-nafx",0.0429425955566776,0.000538323638472473,1295.99999999998,0.0418993945556267,0.044011769924173
"wasm","wasm-onnx","Chrome","steerable-nafx",0.0424343461414468,0.000531952279896868,1295.99999999998,0.0414034920023375,0.0434908662378155
"js","wasm-onnx","Chrome","steerable-nafx",0.0424143448210246,0.000531701545551531,1295.99999999998,0.0413839765723747,0.0434703669293505
"wasm","wasm-bypass","Firefox","steerable-nafx",0.000151216888245207,1.89563822175592e-06,1296.00000000011,0.000147543388608115,0.000154981849788595
"js","wasm-bypass","Firefox","steerable-nafx",0.000151517643828732,1.89940846055765e-06,1295.99999999998,0.000147836837960573,0.000155290093511965
"wasm","js-bypass","Firefox","steerable-nafx",0.000157020443546353,1.96839095049273e-06,1295.99999999998,0.00015320595860967,0.000160929900607255
"js","js-bypass","Firefox","steerable-nafx",0.000155718761723601,1.95207321082485e-06,1295.99999999998,0.00015193589843817,0.00015959580982502
"wasm","js-onnx","Firefox","steerable-nafx",0.0208652331844121,0.000261564260376026,1295.99999999998,0.0203583557620539,0.02138473071835
